id_venta,id_cliente,id_producto,id_vendedor,fecha_venta,cantidad,precio_unitario,canal,region,estado_entrega
1,558,32,30,2024-10-16,2,211.55,TIENDA,Sur,ENTREGADO
2,550,40,49,2023-04-25,5,338.89,TIENDA,Norte,ENTREGADO
3,142,8,23,2023-01-26,2,55.32,APP,Centro,CANCELADO
4,612,10,4,2025-01-29,3,25.47,WEB,Centro,PENDIENTE
5,501,25,35,2023-10-09,4,92.04,TIENDA,Centro,CANCELADO
6,702,11,14,2023-09-08,3,299.08,TIENDA,Norte,PENDIENTE
7,547,28,22,2023-08-17,3,408.63,WEB,Centro,PENDIENTE
8,659,33,30,2023-05-23,5,194.23,WEB,Norte,ENTREGADO
9,542,39,3,2025-01-24,5,356.18,APP,Sur,PENDIENTE
10,507,26,11,2023-04-15,3,248.71,TIENDA,Centro,CANCELADO
11,596,8,10,2024-11-23,1,412.77,TIENDA,Norte,PENDIENTE
12,281,38,3,2025-01-28,4,69.96,WEB,Norte,CANCELADO
13,424,26,41,2025-07-02,2,300.34,APP,Sur,ENTREGADO
14,270,32,48,2024-07-12,2,467.14,APP,Norte,CANCELADO
15,154,28,50,2023-03-31,1,62.52,APP,Norte,PENDIENTE
16,614,7,5,2024-08-27,4,146.3,TIENDA,Norte,PENDIENTE
17,727,35,15,2024-03-08,1,151.11,APP,Sur,CANCELADO
18,662,2,48,2023-02-02,2,333.38,APP,Norte,CANCELADO
19,83,22,50,2023-01-31,1,394.99,APP,Sur,ENTREGADO
20,622,22,6,2023-04-06,5,327.09,WEB,Centro,PENDIENTE
21,426,3,4,2023-08-12,2,234.85,TIENDA,Centro,CANCELADO
22,275,8,23,2023-08-27,5,140.25,APP,Norte,PENDIENTE
23,713,4,45,2024-06-01,4,465.88,TIENDA,Centro,CANCELADO
24,284,15,1,2024-09-08,5,107.01,APP,Centro,CANCELADO
25,173,39,34,2023-01-28,1,389.21,APP,Norte,PENDIENTE
26,327,12,15,2024-07-28,4,95.35,APP,Norte,ENTREGADO
27,718,29,4,2023-07-23,3,222.97,WEB,Sur,ENTREGADO
28,63,9,27,2025-01-03,4,164.64,APP,Centro,CANCELADO
29,73,40,13,2024-10-27,3,157.9,WEB,Norte,CANCELADO
30,763,20,46,2024-12-19,3,166.89,WEB,Sur,ENTREGADO
31,636,34,47,2024-07-12,4,416.18,APP,Norte,CANCELADO
32,375,26,40,2024-03-05,3,131.32,APP,Norte,ENTREGADO
33,633,21,32,2023-08-14,5,128.11,WEB,Norte,ENTREGADO
34,508,23,9,2024-04-04,5,179.56,APP,Norte,CANCELADO
35,787,18,37,2024-08-26,4,331.98,WEB,Sur,PENDIENTE
